Bus ID,Bus Type,Real Power Demand,React Power Demand,Shunt Conductance,Shunt Susceptance,Area,Volt Magnitude,Volt Angle,Base Volt,Zone,Max Volt Magnitude,Min Volt Magnitude
1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.06,0.0,0.0,1.0,1.06,0.94
2.0,2.0,21.7,12.7,0.0,0.0,1.0,1.045,-4.98,0.0,1.0,1.06,0.94
3.0,2.0,94.2,19.0,0.0,0.0,1.0,1.01,-12.72,0.0,1.0,1.06,0.94
4.0,1.0,47.8,-3.9,0.0,0.0,1.0,1.019,-10.33,0.0,1.0,1.06,0.94
5.0,1.0,7.6,1.6,0.0,0.0,1.0,1.02,-8.78,0.0,1.0,1.06,0.94
6.0,2.0,11.2,7.5,0.0,0.0,1.0,1.07,-14.22,0.0,1.0,1.06,0.94
7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.062,-13.37,0.0,1.0,1.06,0.94
8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.09,-13.36,0.0,1.0,1.06,0.94
9.0,1.0,29.5,16.6,0.0,19.0,1.0,1.056,-14.94,0.0,1.0,1.06,0.94
10.0,1.0,9.0,5.8,0.0,0.0,1.0,1.051,-15.1,0.0,1.0,1.06,0.94
11.0,1.0,3.5,1.8,0.0,0.0,1.0,1.057,-14.79,0.0,1.0,1.06,0.94
12.0,1.0,6.1,1.6,0.0,0.0,1.0,1.055,-15.07,0.0,1.0,1.06,0.94
13.0,1.0,13.5,5.8,0.0,0.0,1.0,1.05,-15.16,0.0,1.0,1.06,0.94
14.0,1.0,14.9,5.0,0.0,0.0,1.0,1.036,-16.04,0.0,1.0,1.06,0.94
