Model,Startup Cost,Shutdown Cost,Num Coef,Coef1,Coef2,Coef3
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.0266666667,20.0,0.0
2.0,0.0,0.0,3.0,0.064516129,20.0,0.0
2.0,0.0,0.0,3.0,0.0344827586,20.0,0.0
2.0,0.0,0.0,3.0,0.147058824,20.0,0.0
2.0,0.0,0.0,3.0,0.0854700855,20.0,0.0
2.0,0.0,0.0,3.0,0.00518134715,20.0,0.0
2.0,0.0,0.0,3.0,0.0416666667,20.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.0355871886,20.0,0.0
2.0,0.0,0.0,3.0,0.0143678161,20.0,0.0
2.0,0.0,0.0,3.0,0.119047619,20.0,0.0
2.0,0.0,0.0,3.0,0.0460829493,20.0,0.0
2.0,0.0,0.0,3.0,0.0970873786,20.0,0.0
2.0,0.0,0.0,3.0,0.0268817204,20.0,0.0
2.0,0.0,0.0,3.0,0.0462962963,20.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.0487804878,20.0,0.0
2.0,0.0,0.0,3.0,0.01,40.0,0.0
2.0,0.0,0.0,3.0,0.0438596491,20.0,0.0
2.0,0.0,0.0,3.0,0.119047619,20.0,0.0
2.0,0.0,0.0,3.0,0.05,20.0,0.0
2.0,0.0,0.0,3.0,0.00833333333,20.0,0.0
2.0,0.0,0.0,3.0,0.00833333333,20.0,0.0
2.0,0.0,0.0,3.0,0.0210526316,20.0,0.0
2.0,0.0,0.0,3.0,0.00506842372,20.0,0.0
2.0,0.0,0.0,3.0,0.0235849057,20.0,0.0
2.0,0.0,0.0,3.0,0.0367647059,20.0,0.0
2.0,0.0,0.0,3.0,0.1,20.0,0.0
2.0,0.0,0.0,3.0,0.0222222222,20.0,0.0
2.0,0.0,0.0,3.0,0.04,20.0,0.0
2.0,0.0,0.0,3.0,0.0330033003,20.0,0.0
2.0,0.0,0.0,3.0,0.0289855072,20.0,0.0
2.0,0.0,0.0,3.0,0.0333333333,20.0,0.0
2.0,0.0,0.0,3.0,0.0166666667,20.0,0.0
2.0,0.0,0.0,3.0,0.04,20.0,0.0
2.0,0.0,0.0,3.0,0.0181818182,20.0,0.0
2.0,0.0,0.0,3.0,0.0173783084,20.0,0.0
2.0,0.0,0.0,3.0,0.0588235294,20.0,0.0
